,Question,Context,Value,prompt
1210,the value of Percentage of black board members in Clicks document in 2020?,"| | | | | | |
|Number of Board Members| |14|14|15|13|2-9| |
|Number of Board Members who are deemed Non-Executive| |12|10|10|7|2-9| |
|Percentage of Board Members who are deemed Non-Executive| |85.7%|71.4%|66.7%|53.  
   3| |
|Number of Board Members who are deemed 'HDSA'| |5|5|5|4|2-9 G1.1| |
|Percentage of Board Members who are deemed 'HDSA'| |35.7%|35.7%|33.3%|30.8%|2-9 G1.1| |
|Number of Board Members who are Women| |5|5|5|4|2-9 G1.1| |
|Percentage of Board Members who are Women| |35.7%|35.7%|33.  
   |Lost days|Number|17|277|372|
| |Fatalities|Number|0|0|2|

|Board diversity|Description|Units|2022|2021|2020|
|---|---|---|---|---|---|
| |Composition of the board and its committees by: race (black)|%|60|64|56|
| |Composition of the board and its committees by: gender (female)|%|40|36|33|

|Board",56,"[INST] Given the question and context, extract the value of the metric .

Question: the value of Percentage of black board members in Clicks document in 2020?[/INST] [INST]Context: | | | | | | |
|Number of Board Members| |14|14|15|13|2-9| |
|Number of Board Members who are deemed Non-Executive| |12|10|10|7|2-9| |
|Percentage of Board Members who are deemed Non-Executive| |85.7%|71.4%|66.7%|53.  
   3| |
|Number of Board Members who are deemed 'HDSA'| |5|5|5|4|2-9 G1.1| |
|Percentage of Board Members who are deemed 'HDSA'| |35.7%|35.7%|33.3%|30.8%|2-9 G1.1| |
|Number of Board Members who are Women| |5|5|5|4|2-9 G1.1| |
|Percentage of Board Members who are Women| |35.7%|35.7%|33.  
   |Lost days|Number|17|277|372|
| |Fatalities|Number|0|0|2|

|Board diversity|Description|Units|2022|2021|2020|
|---|---|---|---|---|---|
| |Composition of the board and its committees by: race (black)|%|60|64|56|
| |Composition of the board and its committees by: gender (female)|%|40|36|33|

|Board[/INST]
[INST]The result value for the metric in 2022 is: 56[/INST]
"
1211,the value of Percentage of black board members in Clicks document in 2021?,"| | | | | | |
|Number of Board Members| |14|14|15|13|2-9| |
|Number of Board Members who are deemed Non-Executive| |12|10|10|7|2-9| |
|Percentage of Board Members who are deemed Non-Executive| |85.7%|71.4%|66.7%|53.  
   3| |
|Number of Board Members who are deemed 'HDSA'| |5|5|5|4|2-9 G1.1| |
|Percentage of Board Members who are deemed 'HDSA'| |35.7%|35.7%|33.3%|30.8%|2-9 G1.1| |
|Number of Board Members who are Women| |5|5|5|4|2-9 G1.1| |
|Percentage of Board Members who are Women| |35.7%|35.7%|33.  
   |Lost days|Number|17|277|372|
| |Fatalities|Number|0|0|2|

|Board diversity|Description|Units|2022|2021|2020|
|---|---|---|---|---|---|
| |Composition of the board and its committees by: race (black)|%|60|64|56|
| |Composition of the board and its committees by: gender (female)|%|40|36|33|

|Board",64,"[INST] Given the question and context, extract the value of the metric .

Question: the value of Percentage of black board members in Clicks document in 2021?[/INST] [INST]Context: | | | | | | |
|Number of Board Members| |14|14|15|13|2-9| |
|Number of Board Members who are deemed Non-Executive| |12|10|10|7|2-9| |
|Percentage of Board Members who are deemed Non-Executive| |85.7%|71.4%|66.7%|53.  
   3| |
|Number of Board Members who are deemed 'HDSA'| |5|5|5|4|2-9 G1.1| |
|Percentage of Board Members who are deemed 'HDSA'| |35.7%|35.7%|33.3%|30.8%|2-9 G1.1| |
|Number of Board Members who are Women| |5|5|5|4|2-9 G1.1| |
|Percentage of Board Members who are Women| |35.7%|35.7%|33.  
   |Lost days|Number|17|277|372|
| |Fatalities|Number|0|0|2|

|Board diversity|Description|Units|2022|2021|2020|
|---|---|---|---|---|---|
| |Composition of the board and its committees by: race (black)|%|60|64|56|
| |Composition of the board and its committees by: gender (female)|%|40|36|33|

|Board[/INST]
[INST]The result value for the metric in 2022 is: 64[/INST]
"
1212,the value of Percentage of black board members in Clicks document in 2019?,"| | | | | | |
|Number of Board Members| |14|14|15|13|2-9| |
|Number of Board Members who are deemed Non-Executive| |12|10|10|7|2-9| |
|Percentage of Board Members who are deemed Non-Executive| |85.7%|71.4%|66.7%|53.  
   3| |
|Number of Board Members who are deemed 'HDSA'| |5|5|5|4|2-9 G1.1| |
|Percentage of Board Members who are deemed 'HDSA'| |35.7%|35.7%|33.3%|30.8%|2-9 G1.1| |
|Number of Board Members who are Women| |5|5|5|4|2-9 G1.1| |
|Percentage of Board Members who are Women| |35.7%|35.7%|33.  
   Board members|7|7|7|9|
|Percentage of non-executive Board members|70%|70%|70%|82%|
|Executive Board members|3|3|3|2|
|Prescribed officers (note: persons who are not already counted as “executives”)| |2|5| |
|Independent Board members|7|7|7|7|
|Percentage of independent Board members|70.0%|70.0%|70.0%|63.",0.0,"[INST] Given the question and context, extract the value of the metric .

Question: the value of Percentage of black board members in Clicks document in 2019?[/INST] [INST]Context: | | | | | | |
|Number of Board Members| |14|14|15|13|2-9| |
|Number of Board Members who are deemed Non-Executive| |12|10|10|7|2-9| |
|Percentage of Board Members who are deemed Non-Executive| |85.7%|71.4%|66.7%|53.  
   3| |
|Number of Board Members who are deemed 'HDSA'| |5|5|5|4|2-9 G1.1| |
|Percentage of Board Members who are deemed 'HDSA'| |35.7%|35.7%|33.3%|30.8%|2-9 G1.1| |
|Number of Board Members who are Women| |5|5|5|4|2-9 G1.1| |
|Percentage of Board Members who are Women| |35.7%|35.7%|33.  
   Board members|7|7|7|9|
|Percentage of non-executive Board members|70%|70%|70%|82%|
|Executive Board members|3|3|3|2|
|Prescribed officers (note: persons who are not already counted as “executives”)| |2|5| |
|Independent Board members|7|7|7|7|
|Percentage of independent Board members|70.0%|70.0%|70.0%|63.[/INST]
[INST]The result value for the metric in 2022 is: 0.0[/INST]
"
1213,the value of Percentage of black board members in Clicks document in 2020?,"| | | | | | |
|Number of Board Members| |14|14|15|13|2-9| |
|Number of Board Members who are deemed Non-Executive| |12|10|10|7|2-9| |
|Percentage of Board Members who are deemed Non-Executive| |85.7%|71.4%|66.7%|53.  
   3| |
|Number of Board Members who are deemed 'HDSA'| |5|5|5|4|2-9 G1.1| |
|Percentage of Board Members who are deemed 'HDSA'| |35.7%|35.7%|33.3%|30.8%|2-9 G1.1| |
|Number of Board Members who are Women| |5|5|5|4|2-9 G1.1| |
|Percentage of Board Members who are Women| |35.7%|35.7%|33.  
   |Lost days|Number|17|277|372|
| |Fatalities|Number|0|0|2|

|Board diversity|Description|Units|2022|2021|2020|
|---|---|---|---|---|---|
| |Composition of the board and its committees by: race (black)|%|60|64|56|
| |Composition of the board and its committees by: gender (female)|%|40|36|33|

|Board",56,"[INST] Given the question and context, extract the value of the metric .

Question: the value of Percentage of black board members in Clicks document in 2020?[/INST] [INST]Context: | | | | | | |
|Number of Board Members| |14|14|15|13|2-9| |
|Number of Board Members who are deemed Non-Executive| |12|10|10|7|2-9| |
|Percentage of Board Members who are deemed Non-Executive| |85.7%|71.4%|66.7%|53.  
   3| |
|Number of Board Members who are deemed 'HDSA'| |5|5|5|4|2-9 G1.1| |
|Percentage of Board Members who are deemed 'HDSA'| |35.7%|35.7%|33.3%|30.8%|2-9 G1.1| |
|Number of Board Members who are Women| |5|5|5|4|2-9 G1.1| |
|Percentage of Board Members who are Women| |35.7%|35.7%|33.  
   |Lost days|Number|17|277|372|
| |Fatalities|Number|0|0|2|

|Board diversity|Description|Units|2022|2021|2020|
|---|---|---|---|---|---|
| |Composition of the board and its committees by: race (black)|%|60|64|56|
| |Composition of the board and its committees by: gender (female)|%|40|36|33|

|Board[/INST]
[INST]The result value for the metric in 2022 is: 56[/INST]
"
1214,the value of Percentage of black board members in Clicks document in 2021?,"| | | | | | |
|Number of Board Members| |14|14|15|13|2-9| |
|Number of Board Members who are deemed Non-Executive| |12|10|10|7|2-9| |
|Percentage of Board Members who are deemed Non-Executive| |85.7%|71.4%|66.7%|53.  
   3| |
|Number of Board Members who are deemed 'HDSA'| |5|5|5|4|2-9 G1.1| |
|Percentage of Board Members who are deemed 'HDSA'| |35.7%|35.7%|33.3%|30.8%|2-9 G1.1| |
|Number of Board Members who are Women| |5|5|5|4|2-9 G1.1| |
|Percentage of Board Members who are Women| |35.7%|35.7%|33.  
   |Lost days|Number|17|277|372|
| |Fatalities|Number|0|0|2|

|Board diversity|Description|Units|2022|2021|2020|
|---|---|---|---|---|---|
| |Composition of the board and its committees by: race (black)|%|60|64|56|
| |Composition of the board and its committees by: gender (female)|%|40|36|33|

|Board",64,"[INST] Given the question and context, extract the value of the metric .

Question: the value of Percentage of black board members in Clicks document in 2021?[/INST] [INST]Context: | | | | | | |
|Number of Board Members| |14|14|15|13|2-9| |
|Number of Board Members who are deemed Non-Executive| |12|10|10|7|2-9| |
|Percentage of Board Members who are deemed Non-Executive| |85.7%|71.4%|66.7%|53.  
   3| |
|Number of Board Members who are deemed 'HDSA'| |5|5|5|4|2-9 G1.1| |
|Percentage of Board Members who are deemed 'HDSA'| |35.7%|35.7%|33.3%|30.8%|2-9 G1.1| |
|Number of Board Members who are Women| |5|5|5|4|2-9 G1.1| |
|Percentage of Board Members who are Women| |35.7%|35.7%|33.  
   |Lost days|Number|17|277|372|
| |Fatalities|Number|0|0|2|

|Board diversity|Description|Units|2022|2021|2020|
|---|---|---|---|---|---|
| |Composition of the board and its committees by: race (black)|%|60|64|56|
| |Composition of the board and its committees by: gender (female)|%|40|36|33|

|Board[/INST]
[INST]The result value for the metric in 2022 is: 64[/INST]
"
1215,the value of Percentage of black board members in Clicks document in 2019?,"| | | | | | |
|Number of Board Members| |14|14|15|13|2-9| |
|Number of Board Members who are deemed Non-Executive| |12|10|10|7|2-9| |
|Percentage of Board Members who are deemed Non-Executive| |85.7%|71.4%|66.7%|53.  
   3| |
|Number of Board Members who are deemed 'HDSA'| |5|5|5|4|2-9 G1.1| |
|Percentage of Board Members who are deemed 'HDSA'| |35.7%|35.7%|33.3%|30.8%|2-9 G1.1| |
|Number of Board Members who are Women| |5|5|5|4|2-9 G1.1| |
|Percentage of Board Members who are Women| |35.7%|35.7%|33.  
   Board members|7|7|7|9|
|Percentage of non-executive Board members|70%|70%|70%|82%|
|Executive Board members|3|3|3|2|
|Prescribed officers (note: persons who are not already counted as “executives”)| |2|5| |
|Independent Board members|7|7|7|7|
|Percentage of independent Board members|70.0%|70.0%|70.0%|63.",0.0,"[INST] Given the question and context, extract the value of the metric .

Question: the value of Percentage of black board members in Clicks document in 2019?[/INST] [INST]Context: | | | | | | |
|Number of Board Members| |14|14|15|13|2-9| |
|Number of Board Members who are deemed Non-Executive| |12|10|10|7|2-9| |
|Percentage of Board Members who are deemed Non-Executive| |85.7%|71.4%|66.7%|53.  
   3| |
|Number of Board Members who are deemed 'HDSA'| |5|5|5|4|2-9 G1.1| |
|Percentage of Board Members who are deemed 'HDSA'| |35.7%|35.7%|33.3%|30.8%|2-9 G1.1| |
|Number of Board Members who are Women| |5|5|5|4|2-9 G1.1| |
|Percentage of Board Members who are Women| |35.7%|35.7%|33.  
   Board members|7|7|7|9|
|Percentage of non-executive Board members|70%|70%|70%|82%|
|Executive Board members|3|3|3|2|
|Prescribed officers (note: persons who are not already counted as “executives”)| |2|5| |
|Independent Board members|7|7|7|7|
|Percentage of independent Board members|70.0%|70.0%|70.0%|63.[/INST]
[INST]The result value for the metric in 2022 is: 0.0[/INST]
"
1216,the value of Percentage of black board members in Clicks document in 2020?,"| | | | | | |
|Number of Board Members| |14|14|15|13|2-9| |
|Number of Board Members who are deemed Non-Executive| |12|10|10|7|2-9| |
|Percentage of Board Members who are deemed Non-Executive| |85.7%|71.4%|66.7%|53.  
   3| |
|Number of Board Members who are deemed 'HDSA'| |5|5|5|4|2-9 G1.1| |
|Percentage of Board Members who are deemed 'HDSA'| |35.7%|35.7%|33.3%|30.8%|2-9 G1.1| |
|Number of Board Members who are Women| |5|5|5|4|2-9 G1.1| |
|Percentage of Board Members who are Women| |35.7%|35.7%|33.  
   |Lost days|Number|17|277|372|
| |Fatalities|Number|0|0|2|

|Board diversity|Description|Units|2022|2021|2020|
|---|---|---|---|---|---|
| |Composition of the board and its committees by: race (black)|%|60|64|56|
| |Composition of the board and its committees by: gender (female)|%|40|36|33|

|Board",56,"[INST] Given the question and context, extract the value of the metric .

Question: the value of Percentage of black board members in Clicks document in 2020?[/INST] [INST]Context: | | | | | | |
|Number of Board Members| |14|14|15|13|2-9| |
|Number of Board Members who are deemed Non-Executive| |12|10|10|7|2-9| |
|Percentage of Board Members who are deemed Non-Executive| |85.7%|71.4%|66.7%|53.  
   3| |
|Number of Board Members who are deemed 'HDSA'| |5|5|5|4|2-9 G1.1| |
|Percentage of Board Members who are deemed 'HDSA'| |35.7%|35.7%|33.3%|30.8%|2-9 G1.1| |
|Number of Board Members who are Women| |5|5|5|4|2-9 G1.1| |
|Percentage of Board Members who are Women| |35.7%|35.7%|33.  
   |Lost days|Number|17|277|372|
| |Fatalities|Number|0|0|2|

|Board diversity|Description|Units|2022|2021|2020|
|---|---|---|---|---|---|
| |Composition of the board and its committees by: race (black)|%|60|64|56|
| |Composition of the board and its committees by: gender (female)|%|40|36|33|

|Board[/INST]
[INST]The result value for the metric in 2022 is: 56[/INST]
"
1217,the value of Percentage of black board members in Clicks document in 2021?,"| | | | | | |
|Number of Board Members| |14|14|15|13|2-9| |
|Number of Board Members who are deemed Non-Executive| |12|10|10|7|2-9| |
|Percentage of Board Members who are deemed Non-Executive| |85.7%|71.4%|66.7%|53.  
   3| |
|Number of Board Members who are deemed 'HDSA'| |5|5|5|4|2-9 G1.1| |
|Percentage of Board Members who are deemed 'HDSA'| |35.7%|35.7%|33.3%|30.8%|2-9 G1.1| |
|Number of Board Members who are Women| |5|5|5|4|2-9 G1.1| |
|Percentage of Board Members who are Women| |35.7%|35.7%|33.  
   |Lost days|Number|17|277|372|
| |Fatalities|Number|0|0|2|

|Board diversity|Description|Units|2022|2021|2020|
|---|---|---|---|---|---|
| |Composition of the board and its committees by: race (black)|%|60|64|56|
| |Composition of the board and its committees by: gender (female)|%|40|36|33|

|Board",64,"[INST] Given the question and context, extract the value of the metric .

Question: the value of Percentage of black board members in Clicks document in 2021?[/INST] [INST]Context: | | | | | | |
|Number of Board Members| |14|14|15|13|2-9| |
|Number of Board Members who are deemed Non-Executive| |12|10|10|7|2-9| |
|Percentage of Board Members who are deemed Non-Executive| |85.7%|71.4%|66.7%|53.  
   3| |
|Number of Board Members who are deemed 'HDSA'| |5|5|5|4|2-9 G1.1| |
|Percentage of Board Members who are deemed 'HDSA'| |35.7%|35.7%|33.3%|30.8%|2-9 G1.1| |
|Number of Board Members who are Women| |5|5|5|4|2-9 G1.1| |
|Percentage of Board Members who are Women| |35.7%|35.7%|33.  
   |Lost days|Number|17|277|372|
| |Fatalities|Number|0|0|2|

|Board diversity|Description|Units|2022|2021|2020|
|---|---|---|---|---|---|
| |Composition of the board and its committees by: race (black)|%|60|64|56|
| |Composition of the board and its committees by: gender (female)|%|40|36|33|

|Board[/INST]
[INST]The result value for the metric in 2022 is: 64[/INST]
"
1218,the value of Percentage of black board members in Clicks document in 2019?,"| | | | | | |
|Number of Board Members| |14|14|15|13|2-9| |
|Number of Board Members who are deemed Non-Executive| |12|10|10|7|2-9| |
|Percentage of Board Members who are deemed Non-Executive| |85.7%|71.4%|66.7%|53.  
   3| |
|Number of Board Members who are deemed 'HDSA'| |5|5|5|4|2-9 G1.1| |
|Percentage of Board Members who are deemed 'HDSA'| |35.7%|35.7%|33.3%|30.8%|2-9 G1.1| |
|Number of Board Members who are Women| |5|5|5|4|2-9 G1.1| |
|Percentage of Board Members who are Women| |35.7%|35.7%|33.  
   Board members|7|7|7|9|
|Percentage of non-executive Board members|70%|70%|70%|82%|
|Executive Board members|3|3|3|2|
|Prescribed officers (note: persons who are not already counted as “executives”)| |2|5| |
|Independent Board members|7|7|7|7|
|Percentage of independent Board members|70.0%|70.0%|70.0%|63.",0.0,"[INST] Given the question and context, extract the value of the metric .

Question: the value of Percentage of black board members in Clicks document in 2019?[/INST] [INST]Context: | | | | | | |
|Number of Board Members| |14|14|15|13|2-9| |
|Number of Board Members who are deemed Non-Executive| |12|10|10|7|2-9| |
|Percentage of Board Members who are deemed Non-Executive| |85.7%|71.4%|66.7%|53.  
   3| |
|Number of Board Members who are deemed 'HDSA'| |5|5|5|4|2-9 G1.1| |
|Percentage of Board Members who are deemed 'HDSA'| |35.7%|35.7%|33.3%|30.8%|2-9 G1.1| |
|Number of Board Members who are Women| |5|5|5|4|2-9 G1.1| |
|Percentage of Board Members who are Women| |35.7%|35.7%|33.  
   Board members|7|7|7|9|
|Percentage of non-executive Board members|70%|70%|70%|82%|
|Executive Board members|3|3|3|2|
|Prescribed officers (note: persons who are not already counted as “executives”)| |2|5| |
|Independent Board members|7|7|7|7|
|Percentage of independent Board members|70.0%|70.0%|70.0%|63.[/INST]
[INST]The result value for the metric in 2022 is: 0.0[/INST]
"
1219,the value of Percentage of black board members in Clicks document in 2020?,"| | | | | | |
|Number of Board Members| |14|14|15|13|2-9| |
|Number of Board Members who are deemed Non-Executive| |12|10|10|7|2-9| |
|Percentage of Board Members who are deemed Non-Executive| |85.7%|71.4%|66.7%|53.  
   3| |
|Number of Board Members who are deemed 'HDSA'| |5|5|5|4|2-9 G1.1| |
|Percentage of Board Members who are deemed 'HDSA'| |35.7%|35.7%|33.3%|30.8%|2-9 G1.1| |
|Number of Board Members who are Women| |5|5|5|4|2-9 G1.1| |
|Percentage of Board Members who are Women| |35.7%|35.7%|33.  
   |Lost days|Number|17|277|372|
| |Fatalities|Number|0|0|2|

|Board diversity|Description|Units|2022|2021|2020|
|---|---|---|---|---|---|
| |Composition of the board and its committees by: race (black)|%|60|64|56|
| |Composition of the board and its committees by: gender (female)|%|40|36|33|

|Board",56,"[INST] Given the question and context, extract the value of the metric .

Question: the value of Percentage of black board members in Clicks document in 2020?[/INST] [INST]Context: | | | | | | |
|Number of Board Members| |14|14|15|13|2-9| |
|Number of Board Members who are deemed Non-Executive| |12|10|10|7|2-9| |
|Percentage of Board Members who are deemed Non-Executive| |85.7%|71.4%|66.7%|53.  
   3| |
|Number of Board Members who are deemed 'HDSA'| |5|5|5|4|2-9 G1.1| |
|Percentage of Board Members who are deemed 'HDSA'| |35.7%|35.7%|33.3%|30.8%|2-9 G1.1| |
|Number of Board Members who are Women| |5|5|5|4|2-9 G1.1| |
|Percentage of Board Members who are Women| |35.7%|35.7%|33.  
   |Lost days|Number|17|277|372|
| |Fatalities|Number|0|0|2|

|Board diversity|Description|Units|2022|2021|2020|
|---|---|---|---|---|---|
| |Composition of the board and its committees by: race (black)|%|60|64|56|
| |Composition of the board and its committees by: gender (female)|%|40|36|33|

|Board[/INST]
[INST]The result value for the metric in 2022 is: 56[/INST]
"
1220,the value of Percentage of black board members in Clicks document in 2021?,"| | | | | | |
|Number of Board Members| |14|14|15|13|2-9| |
|Number of Board Members who are deemed Non-Executive| |12|10|10|7|2-9| |
|Percentage of Board Members who are deemed Non-Executive| |85.7%|71.4%|66.7%|53.  
   3| |
|Number of Board Members who are deemed 'HDSA'| |5|5|5|4|2-9 G1.1| |
|Percentage of Board Members who are deemed 'HDSA'| |35.7%|35.7%|33.3%|30.8%|2-9 G1.1| |
|Number of Board Members who are Women| |5|5|5|4|2-9 G1.1| |
|Percentage of Board Members who are Women| |35.7%|35.7%|33.  
   |Lost days|Number|17|277|372|
| |Fatalities|Number|0|0|2|

|Board diversity|Description|Units|2022|2021|2020|
|---|---|---|---|---|---|
| |Composition of the board and its committees by: race (black)|%|60|64|56|
| |Composition of the board and its committees by: gender (female)|%|40|36|33|

|Board",64,"[INST] Given the question and context, extract the value of the metric .

Question: the value of Percentage of black board members in Clicks document in 2021?[/INST] [INST]Context: | | | | | | |
|Number of Board Members| |14|14|15|13|2-9| |
|Number of Board Members who are deemed Non-Executive| |12|10|10|7|2-9| |
|Percentage of Board Members who are deemed Non-Executive| |85.7%|71.4%|66.7%|53.  
   3| |
|Number of Board Members who are deemed 'HDSA'| |5|5|5|4|2-9 G1.1| |
|Percentage of Board Members who are deemed 'HDSA'| |35.7%|35.7%|33.3%|30.8%|2-9 G1.1| |
|Number of Board Members who are Women| |5|5|5|4|2-9 G1.1| |
|Percentage of Board Members who are Women| |35.7%|35.7%|33.  
   |Lost days|Number|17|277|372|
| |Fatalities|Number|0|0|2|

|Board diversity|Description|Units|2022|2021|2020|
|---|---|---|---|---|---|
| |Composition of the board and its committees by: race (black)|%|60|64|56|
| |Composition of the board and its committees by: gender (female)|%|40|36|33|

|Board[/INST]
[INST]The result value for the metric in 2022 is: 64[/INST]
"
1221,the value of Percentage of black board members in Clicks document in 2019?,"| | | | | | |
|Number of Board Members| |14|14|15|13|2-9| |
|Number of Board Members who are deemed Non-Executive| |12|10|10|7|2-9| |
|Percentage of Board Members who are deemed Non-Executive| |85.7%|71.4%|66.7%|53.  
   3| |
|Number of Board Members who are deemed 'HDSA'| |5|5|5|4|2-9 G1.1| |
|Percentage of Board Members who are deemed 'HDSA'| |35.7%|35.7%|33.3%|30.8%|2-9 G1.1| |
|Number of Board Members who are Women| |5|5|5|4|2-9 G1.1| |
|Percentage of Board Members who are Women| |35.7%|35.7%|33.  
   Board members|7|7|7|9|
|Percentage of non-executive Board members|70%|70%|70%|82%|
|Executive Board members|3|3|3|2|
|Prescribed officers (note: persons who are not already counted as “executives”)| |2|5| |
|Independent Board members|7|7|7|7|
|Percentage of independent Board members|70.0%|70.0%|70.0%|63.",0.0,"[INST] Given the question and context, extract the value of the metric .

Question: the value of Percentage of black board members in Clicks document in 2019?[/INST] [INST]Context: | | | | | | |
|Number of Board Members| |14|14|15|13|2-9| |
|Number of Board Members who are deemed Non-Executive| |12|10|10|7|2-9| |
|Percentage of Board Members who are deemed Non-Executive| |85.7%|71.4%|66.7%|53.  
   3| |
|Number of Board Members who are deemed 'HDSA'| |5|5|5|4|2-9 G1.1| |
|Percentage of Board Members who are deemed 'HDSA'| |35.7%|35.7%|33.3%|30.8%|2-9 G1.1| |
|Number of Board Members who are Women| |5|5|5|4|2-9 G1.1| |
|Percentage of Board Members who are Women| |35.7%|35.7%|33.  
   Board members|7|7|7|9|
|Percentage of non-executive Board members|70%|70%|70%|82%|
|Executive Board members|3|3|3|2|
|Prescribed officers (note: persons who are not already counted as “executives”)| |2|5| |
|Independent Board members|7|7|7|7|
|Percentage of independent Board members|70.0%|70.0%|70.0%|63.[/INST]
[INST]The result value for the metric in 2022 is: 0.0[/INST]
"
1222,the value of Percentage of black board members in Clicks document in 2020?,"| | | | | | |
|Number of Board Members| |14|14|15|13|2-9| |
|Number of Board Members who are deemed Non-Executive| |12|10|10|7|2-9| |
|Percentage of Board Members who are deemed Non-Executive| |85.7%|71.4%|66.7%|53.  
   3| |
|Number of Board Members who are deemed 'HDSA'| |5|5|5|4|2-9 G1.1| |
|Percentage of Board Members who are deemed 'HDSA'| |35.7%|35.7%|33.3%|30.8%|2-9 G1.1| |
|Number of Board Members who are Women| |5|5|5|4|2-9 G1.1| |
|Percentage of Board Members who are Women| |35.7%|35.7%|33.  
   |Lost days|Number|17|277|372|
| |Fatalities|Number|0|0|2|

|Board diversity|Description|Units|2022|2021|2020|
|---|---|---|---|---|---|
| |Composition of the board and its committees by: race (black)|%|60|64|56|
| |Composition of the board and its committees by: gender (female)|%|40|36|33|

|Board",56,"[INST] Given the question and context, extract the value of the metric .

Question: the value of Percentage of black board members in Clicks document in 2020?[/INST] [INST]Context: | | | | | | |
|Number of Board Members| |14|14|15|13|2-9| |
|Number of Board Members who are deemed Non-Executive| |12|10|10|7|2-9| |
|Percentage of Board Members who are deemed Non-Executive| |85.7%|71.4%|66.7%|53.  
   3| |
|Number of Board Members who are deemed 'HDSA'| |5|5|5|4|2-9 G1.1| |
|Percentage of Board Members who are deemed 'HDSA'| |35.7%|35.7%|33.3%|30.8%|2-9 G1.1| |
|Number of Board Members who are Women| |5|5|5|4|2-9 G1.1| |
|Percentage of Board Members who are Women| |35.7%|35.7%|33.  
   |Lost days|Number|17|277|372|
| |Fatalities|Number|0|0|2|

|Board diversity|Description|Units|2022|2021|2020|
|---|---|---|---|---|---|
| |Composition of the board and its committees by: race (black)|%|60|64|56|
| |Composition of the board and its committees by: gender (female)|%|40|36|33|

|Board[/INST]
[INST]The result value for the metric in 2022 is: 56[/INST]
"
1223,the value of Percentage of black board members in Clicks document in 2021?,"| | | | | | |
|Number of Board Members| |14|14|15|13|2-9| |
|Number of Board Members who are deemed Non-Executive| |12|10|10|7|2-9| |
|Percentage of Board Members who are deemed Non-Executive| |85.7%|71.4%|66.7%|53.  
   3| |
|Number of Board Members who are deemed 'HDSA'| |5|5|5|4|2-9 G1.1| |
|Percentage of Board Members who are deemed 'HDSA'| |35.7%|35.7%|33.3%|30.8%|2-9 G1.1| |
|Number of Board Members who are Women| |5|5|5|4|2-9 G1.1| |
|Percentage of Board Members who are Women| |35.7%|35.7%|33.  
   |Lost days|Number|17|277|372|
| |Fatalities|Number|0|0|2|

|Board diversity|Description|Units|2022|2021|2020|
|---|---|---|---|---|---|
| |Composition of the board and its committees by: race (black)|%|60|64|56|
| |Composition of the board and its committees by: gender (female)|%|40|36|33|

|Board",64,"[INST] Given the question and context, extract the value of the metric .

Question: the value of Percentage of black board members in Clicks document in 2021?[/INST] [INST]Context: | | | | | | |
|Number of Board Members| |14|14|15|13|2-9| |
|Number of Board Members who are deemed Non-Executive| |12|10|10|7|2-9| |
|Percentage of Board Members who are deemed Non-Executive| |85.7%|71.4%|66.7%|53.  
   3| |
|Number of Board Members who are deemed 'HDSA'| |5|5|5|4|2-9 G1.1| |
|Percentage of Board Members who are deemed 'HDSA'| |35.7%|35.7%|33.3%|30.8%|2-9 G1.1| |
|Number of Board Members who are Women| |5|5|5|4|2-9 G1.1| |
|Percentage of Board Members who are Women| |35.7%|35.7%|33.  
   |Lost days|Number|17|277|372|
| |Fatalities|Number|0|0|2|

|Board diversity|Description|Units|2022|2021|2020|
|---|---|---|---|---|---|
| |Composition of the board and its committees by: race (black)|%|60|64|56|
| |Composition of the board and its committees by: gender (female)|%|40|36|33|

|Board[/INST]
[INST]The result value for the metric in 2022 is: 64[/INST]
"
